id,injector_code,nozzle_code
1,0445110002,0 433 175 175
2,0445110008,0 433 175 196
3,0445110009,0 433 175 163
4,0445110010,0 433 175 163
5,0445110011,0 433 175 163
6,0445110012,0 433 175 163
7,0445110014,0 433 175 164
8,0445110015,0 433 175 164
9,0445110019,0 433 175 363
10,0445110020,0 433 175 196
11,0445110021,0 433 175 230
12,0445110022,0 433 175 231
13,0445110023,0 433 175 231
14,0445110024,0 433 175 163
15,0445110025,0 433 175 163
16,0445110028,0 433 175 234
17,0445110029,0 433 175 232
18,0445110030,0 433 175 235
19,0445110031,0 433 171 930
20,0445110034,0 433 171 594
21,0445110035,0 433 171 594
22,0445110036,0 433 175 250
23,0445110038,0 433 175 253
24,0445110044,0 433 175 196
25,0445110045,0 433 171 608
26,0445110046,0 433 171 608
27,0445110047,0 433 171 616
28,0445110048,0 433 171 617
29,0445110049,0 433 171 618
30,0445110054,0 433 175 314
31,0445110055,0 433 175 314
32,0445110057,0 433 175 272
33,0445110059,0 433 171 641
34,0445110062,0 433 175 281
35,0445110063,0 433 175 278
36,0445110064,0 433 171 654
37,0445110065,0 433 175 290
38,0445110066,0 433 175 290
39,0445110068,0 433 175 288
40,0445110069,0 433 175 298
41,0445110070,0 433 175 298
42,0445110071,0 433 175 163
43,0445110072,0 433 175 163
44,0445110073,0 433 171 678
45,0445110074,0 433 171 678
46,0445110075,0 433 175 308
47,0445110076,0 433 175 431
48,0445110077,0 433 175 310
49,0445110078,0 433 175 310
50,0445110080,0 433 171 690
51,0445110081,0 433 171 693
52,0445110082,0 433 171 692
53,0445110083,0 433 171 774
54,0445110084,0 433 171 695
55,0445110085,0 433 175 313
56,0445110089,0 433 171 706
57,0445110090,0 433 171 706
58,0445110091,0 433 171 719
59,0445110092,0 433 171 719
60,0445110093,0 433 171 717
61,0445110094,0 433 171 717
62,0445110095,0 433 171 712
63,0445110096,0 433 171 712
64,0445110097,0 433 171 718
65,0445110098,0 433 171 718
66,0445110099,0 433 175 326
67,0445110100,0 433 175 326
68,0445110101,0 433 171 654
69,0445110102,0 433 175 327
70,0445110103,0 433 171 718
71,0445110104,0 433 171 718
72,0445110105,0 433 175 395
73,0445110106,0 433 175 395
74,0445110107,0 433 175 395
75,0445110108,0 433 175 395
76,0445110109,0 433 175 334
77,0445110110,0 433 175 337
78,0445110111,0 433 171 771
79,0445110112,0 433 175 377
80,0445110113,0 433 175 338
81,0445110114,0 433 175 338
82,0445110115,0 433 175 342
83,0445110116,0 433 175 342
84,0445110118,0 433 171 785
85,0445110119,0 433 175 386
86,0445110120,0 433 171 712
87,0445110121,0 433 171 712
88,0445110122,0 433 171 690
89,0445110125,0 433 171 752
90,0445110126,0 433 171 755
91,0445110127,0 445 110 127
92,0445110128,0 433 171 772
93,0445110129,0 433 171 772
94,0445110130,0 433 171 773
95,0445110131,0 433 171 690
96,0445110134,0 433 171 769
97,0445110135,0 433 175 308
98,0445110136,0 433 171 801
99,0445110137,0 433 171 788
100,0445110138,0 433 171 788
101,0445110139,0 433 175 366
102,0445110140,0 433 175 366
103,0445110141,0 433 171 811
104,0445110142,0 433 175 376
105,0445110143,0 433 175 376
106,0445110144,0 433 175 334
107,0445110145,0 433 175 337
108,0445110146,0 433 175 230
109,0445110149,0 433 171 796
110,0445110151,0 433 171 798
111,0445110152,0 433 171 798
112,0445110153,0 433 175 313
113,0445110154,0 433 175 313
114,0445110155,0 433 171 800
115,0445110156,0 433 171 800
116,0445110157,0 433 171 805
117,0445110158,0 433 171 805
118,0445110159,0 433 171 838
119,0445110160,0 433 175 388
120,0445110162,0 433 171 788
121,0445110163,0 433 171 788
122,0445110165,0 433 171 822
123,0445110166,0 433 171 856
124,0445110167,0 433 171 856
125,0445110168,0 433 171 819
126,0445110169,0 433 171 820
127,0445110170,0 433 175 395
128,0445110171,0 433 175 395
129,0445110172,0 433 171 823
130,0445110174,0 433 171 785
131,0445110175,0 433 171 828
132,0445110176,0 433 171 800
133,0445110177,0 433 171 800
134,0445110178,0 433 175 372
135,0445110181,0 433 175 395
136,0445110182,0 433 175 395
137,0445110183,0 433 171 889
138,0445110185,0 433 171 847
139,0445110186,0 433 171 848
