injector_code,addidional_serial_number,AH,RLS,AHE,DNH,UEH,image
0445110002,-,0.05 ± 0.003,0.07 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110008,0 445 110 044,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.215 ± 0.0135,-,CRI10
0445110009,0 445 110 011,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110010,0 445 110 011,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110011,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110012,0 445 110 011,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110014,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110015,0 445 110 014,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110019,-,0.05 ± 0.003,0.07 ± 0.0135,0.0515 ± 0.0075,0.19 ± 0.0135,-,CRI10
0445110020,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.215 ± 0.0135,-,CRI10
0445110021,0 445 110 146,0.052 ± 0.003,0.065 ± 0.0135,0.0535 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110022,-,0.039 ± 0.0055,0.07 ± 0.0135,0.0414 ± 0.0075,0.18 ± 0.0135,-,CRI10
0445110023,0 445 110 022,0.039 ± 0.0055,0.07 ± 0.0135,0.0414 ± 0.0075,0.18 ± 0.0135,-,CRI10
0445110024,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110025,0 445 110 024,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110028,-,0.049 ± 0.003,0.07 ± 0.0135,0.0505 ± 0.0075,0.205 ± 0.0135,-,CRI10
0445110029,-,0.049 ± 0.003,0.07 ± 0.0135,0.0505 ± 0.0075,0.205 ± 0.0135,-,CRI10
0445110030,-,0.049 ± 0.003,0.07 ± 0.0135,0.0505 ± 0.0075,0.205 ± 0.0135,-,CRI10
0445110031,-,0.051 ± 0.003,0.055 ± 0.0135,0.0525 ± 0.0045,0.2 ± 0.0135,-,CRI10
0445110034,-,0.05 ± 0.003,0.07 ± 0.0135,0.0515 ± 0.0075,0.25 ± 0.0135,-,CRI10
0445110035,0 445 110 034,0.05 ± 0.003,0.07 ± 0.0135,0.0515 ± 0.0075,0.25 ± 0.0135,-,CRI10
0445110036,-,0.054 ± 0.003,0.07 ± 0.0135,0.0555 ± 0.0075,0.185 ± 0.0135,-,CRI10
0445110038,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.21 ± 0.0135,-,CRI10
0445110044,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.215 ± 0.0135,-,CRI10
0445110045,0 445 110 073,0.052 ± 0.003,0.065 ± 0.0135,0.0535 ± 0.0075,0.25 ± 0.0135,-,CRI10
0445110046,0 445 110 073,0.052 ± 0.003,0.065 ± 0.0135,0.0535 ± 0.0075,0.25 ± 0.0135,-,CRI10
0445110047,0 445 110 266,0.054 ± 0.003,0.065 ± 0.0135,0.0555 ± 0.0075,0.235 ± 0.0135,-,CRI10
0445110048,-,0.054 ± 0.003,0.07 ± 0.0135,0.0555 ± 0.0075,0.235 ± 0.0135,-,CRI10
0445110049,-,0.054 ± 0.003,0.065 ± 0.0135,0.054 ± 0.0075,0.235 ± 0.0135,-,CRI10
0445110054,-,0.045 ± 0.0035,0.053 ± 0.012,0.0434 ± 0.0045,0.2 ± 0.0105,-,CRI21
0445110055,0 445 110 054,0.045 ± 0.0035,0.053 ± 0.012,0.0434 ± 0.0045,0.2 ± 0.0105,-,CRI21
0445110057,-,0.052 ± 0.003,0.065 ± 0.0135,0.0535 ± 0.0075,0.19 ± 0.0135,-,CRI10
0445110059,-,0.054 ± 0.003,0.065 ± 0.0135,0.0555 ± 0.0075,0.245 ± 0.0135,-,CRI10
0445110062,0 445 110 076,0.052 ± 0.003,0.065 ± 0.0135,0.0535 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110063,-,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110064,-,0.054 ± 0.003,0.065 ± 0.0135,0.0555 ± 0.0075,0.2 ± 0.0135,-,CRI10
0445110065,0 445 110 113,0.05 ± 0.003,0.065 ± 0.0135,0.0515 ± 0.0075,0.2 ± 0.0135,-,CRI10
