id,injector_code,valve_code
1,0445110002,F 00V C01 016
2,0445110008,F 00V C01 003
3,0445110009,F 00V C01 001
4,0445110010,F 00V C01 001
5,0445110011,F 00V C01 001
6,0445110012,F 00V C01 001
7,0445110014,F 00V C01 001
8,0445110015,F 00V C01 001
9,0445110019,F 00V C01 042
10,0445110020,F 00V C01 003
11,0445110021,F 00V C01 005
12,0445110022,F 00V C01 007
13,0445110023,F 00V C01 007
14,0445110024,F 00V C01 001
15,0445110025,F 00V C01 001
16,0445110028,F 00V C01 004
17,0445110029,F 00V C01 004
18,0445110030,F 00V C01 004
19,0445110031,F 00V C01 057
20,0445110034,F 00V C01 001
21,0445110035,F 00V C01 001
22,0445110036,F 00V C01 052
23,0445110038,F 00V C01 011
24,0445110044,F 00V C01 003
25,0445110045,F 00V C01 001
26,0445110046,F 00V C01 001
27,0445110047,F 00V C01 043
28,0445110048,F 00V C01 043
29,0445110049,F 00V C01 043
30,0445110054,F 00V C01 309
31,0445110055,F 00V C01 309
32,0445110057,F 00V C01 013
33,0445110059,F 00V C01 015
34,0445110062,F 00V C01 003
35,0445110063,F 00V C01 011
36,0445110064,F 00V C01 044
37,0445110065,F 00V C01 017
38,0445110066,F 00V C01 017
39,0445110068,F 00V C01 020
40,0445110069,F 00V C01 001
41,0445110070,F 00V C01 001
42,0445110071,F 00V C01 001
43,0445110072,F 00V C01 001
44,0445110073,F 00V C01 001
45,0445110074,F 00V C01 001
46,0445110075,F 00V C01 303
47,0445110076,F 00V C01 053
48,0445110077,F 00V C01 301
49,0445110078,F 00V C01 301
50,0445110080,F 00V C01 304
51,0445110081,F 00V C01 023
52,0445110082,F 00V C01 305
53,0445110083,F 00V C01 038
54,0445110084,F 00V C01 022
55,0445110085,F 00V C01 306
56,0445110089,F 00V C01 024
57,0445110090,F 00V C01 024
58,0445110091,F 00V C01 033
59,0445110092,F 00V C01 033
60,0445110093,F 00V C01 001
61,0445110094,F 00V C01 001
62,0445110095,F 00V C01 045
63,0445110096,F 00V C01 045
64,0445110097,F 00V C01 024
65,0445110098,F 00V C01 024
66,0445110099,F 00V C01 045
67,0445110100,F 00V C01 045
68,0445110101,F 00V C01 044
69,0445110102,F 00V C01 022
70,0445110103,F 00V C01 045
71,0445110104,F 00V C01 045
72,0445110105,F 00V C01 045
73,0445110106,F 00V C01 045
74,0445110107,F 00V C01 045
75,0445110108,F 00V C01 045
76,0445110109,F 00V C01 034
77,0445110110,F 00V C01 034
78,0445110111,F 00V C01 036
79,0445110112,F 00V C01 037
80,0445110113,F 00V C01 035
81,0445110114,F 00V C01 035
82,0445110115,F 00V C01 024
83,0445110116,F 00V C01 024
84,0445110118,F 00V C01 313
85,0445110119,F 00V C01 046
86,0445110120,F 00V C01 045
87,0445110121,F 00V C01 045
88,0445110122,F 00V C01 310
89,0445110125,F 00V C01 023
90,0445110126,F 00V C01 044
91,0445110127,F 00V C01 034
92,0445110128,F 00V C01 309
93,0445110129,F 00V C01 309
94,0445110130,F 00V C01 043
95,0445110131,F 00V C01 310
96,0445110134,F 00V C01 312
97,0445110135,F 00V C01 303
98,0445110136,F 00V C01 315
99,0445110137,F 00V C01 328
100,0445110138,F 00V C01 328
101,0445110139,F 00V C01 328
102,0445110140,F 00V C01 328
103,0445110141,F 00V C01 022
104,0445110142,F 00V C01 306
105,0445110143,F 00V C01 306
106,0445110144,F 00V C01 034
107,0445110145,F 00V C01 034
108,0445110146,F 00V C01 005
