id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,injection_rate,total_pulse_time,nominal_flow,flow_range,volt_ampere_profile,total_pulse_time2,shift,is_custom,coding_range
1,77550,2,1000,1350,20,40,,0,,,,,,FALSE,
2,77550,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
3,77550,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
4,77550,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
5,77550,6,1000,1600,20,40,60,1200,92.5,15,,,,FALSE,
6,77550,10,1000,1200,20,40,60,600,42,30,,,,FALSE,
7,77550,11,1000,800,40,60,60,180,3.3,85,,,,FALSE,
8,77550,13,1000,250,20,40,60,540,7.2,50,,,,FALSE,
9,174697,2,1000,1350,20,40,,0,,,,,,FALSE,
10,174697,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
11,174697,4,1000,1350,20,40,60,810,35,70,,,,FALSE,
12,174697,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
13,174697,6,1000,1600,20,40,60,1200,74.6,15,,,,FALSE,
14,174697,10,1000,1200,20,40,60,600,37.3,30,,,,FALSE,
15,174697,11,1000,800,40,90,60,180,2.4,85,,,,FALSE,
16,174697,13,1000,250,20,40,60,540,6.9,50,,,,FALSE,
17,198090,2,1000,1350,20,40,,0,,,,,,FALSE,
18,198090,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
19,198090,4,1000,1350,20,40,60,710,28,70,,,,FALSE,
20,198090,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
21,198090,6,1000,1400,20,40,60,810,32,15,,,,FALSE,
22,198090,10,1000,800,20,40,60,560,19.0,30,,,,FALSE,
23,198090,11,1000,800,40,60,60,180,3.2,85,,,,FALSE,
24,198090,13,1000,250,20,40,60,540,6.3,50,,,,FALSE,
25,0984302,7,1000,1000,20,40,60,1000,100,100,,,,FALSE,
26,1346476,2,1000,1350,20,40,,0,,,,,,FALSE,
27,1346476,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
28,1346476,4,1000,1350,20,40,60,710,28,70,,,,FALSE,
29,1346476,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
30,1346476,6,1000,1400,20,40,60,810,32,15,,,,FALSE,
31,1346476,10,1000,800,20,40,60,560,19.0,30,,,,FALSE,
32,1346476,11,1000,800,40,60,60,180,3.2,85,,,,FALSE,
33,1346476,13,1000,250,20,40,60,540,6.3,50,,,,FALSE,
34,1348623,2,1000,1350,20,40,,0,,,,,,FALSE,
35,1348623,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
36,1348623,4,1000,1350,20,40,60,710,28,70,,,,FALSE,
37,1348623,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
38,1348623,6,1000,1400,20,40,60,810,32,15,,,,FALSE,
39,1348623,10,1000,800,20,40,60,560,19.0,30,,,,FALSE,
40,1348623,11,1000,800,40,60,60,180,3.2,85,,,,FALSE,
41,1348623,13,1000,250,20,40,60,540,6.3,50,,,,FALSE,
42,1355051,2,1000,1350,20,40,,0,,,,,,FALSE,
43,1355051,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
44,1355051,4,1000,1600,20,40,60,600,40,70,,,,FALSE,
45,1355051,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
46,1355051,6,1000,1600,20,40,60,900,47.4,15,,,,FALSE,
47,1355051,10,1000,1000,20,40,60,600,28,30,,,,FALSE,
48,1355051,11,1000,800,40,60,60,200,3.6,85,,,,FALSE,
49,1355051,13,1000,300,20,40,60,475,7.08,50,,,,FALSE,
50,1373549,2,1000,1350,20,40,,0,,,,,,FALSE,
51,1373549,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
52,1373549,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
53,1373549,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
54,1373549,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
55,1373549,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
56,1373549,11,1000,800,40,90,60,180,2.5,85,,,,FALSE,
57,1373549,13,1000,250,20,60,60,540,4.9,50,,,,FALSE,
58,1373550,2,1000,1350,20,40,,0,,,,,,FALSE,
59,1373550,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
60,1373550,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
61,1373550,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
62,1373550,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
63,1373550,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
64,1373550,11,1000,800,40,90,60,180,2.5,85,,,,FALSE,
65,1373550,13,1000,250,20,60,60,540,4.9,50,,,,FALSE,
66,1432322,2,1000,1350,20,40,,0,,,,,,FALSE,
67,1432322,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
68,1432322,4,1000,1600,20,40,60,600,40,70,,,,FALSE,
69,1432322,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
70,1432322,6,1000,1600,20,40,60,900,36.6,15,,,,FALSE,
71,1432322,10,1000,1000,20,40,60,600,22.5,30,,,,FALSE,
72,1432322,11,1000,800,40,60,60,200,3.9,85,,,,FALSE,
73,1432322,13,1000,300,20,40,60,475,6.7,50,,,,FALSE,
74,1451604,2,1000,1350,20,40,,0,,,,,,FALSE,
75,1451604,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
76,1451604,4,1000,1600,20,40,60,600,35,70,,,,FALSE,
77,1451604,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
78,1451604,6,1000,1600,20,40,60,900,50.8,15,,,,FALSE,
79,1451604,10,1000,1000,20,40,60,600,29.2,30,,,,FALSE,
80,1451604,11,1000,800,40,60,60,200,4.3,85,,,,FALSE,
81,1451604,13,1000,300,20,40,60,475,8.3,50,,,,FALSE,
82,1469709,2,1000,1350,20,40,,0,,,,,,FALSE,
83,1469709,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
84,1469709,4,1000,1350,20,40,60,710,28,70,,,,FALSE,
85,1469709,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
86,1469709,6,1000,1400,20,40,60,810,30.03,15,,,,FALSE,
87,1469709,10,1000,800,20,40,60,560,17.7,30,,,,FALSE,
88,1469709,11,1000,800,40,90,60,180,2.1,85,,,,FALSE,
89,1469709,13,1000,250,20,40,60,540,5.2,50,,,,FALSE,
90,1483820,2,1000,1350,20,40,,0,,,,,,FALSE,
91,1483820,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
92,1483820,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
93,1483820,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
94,1483820,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
95,1483820,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
96,1483820,11,1000,800,40,90,60,180,2.5,85,,,,FALSE,
97,1483820,13,1000,250,20,60,60,540,4.9,50,,,,FALSE,
98,1489400,2,1000,1350,20,40,,0,,,,,,FALSE,
99,1489400,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
100,1489400,4,1000,1600,20,40,60,600,35,70,,,,FALSE,
101,1489400,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
102,1489400,6,1000,1600,20,40,60,900,50.8,15,,,,FALSE,
103,1489400,10,1000,1000,20,40,60,600,29.2,30,,,,FALSE,
104,1489400,11,1000,800,40,60,60,200,4.3,85,,,,FALSE,
105,1489400,13,1000,300,20,40,60,475,8.3,50,,,,FALSE,
106,1489401,2,1000,1350,20,40,,0,,,,,,FALSE,
107,1489401,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
108,1489401,4,1000,1600,20,40,60,600,40,70,,,,FALSE,
109,1489401,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
110,1489401,6,1000,1600,20,40,60,900,54.84,15,,,,FALSE,
111,1489401,10,1000,1000,20,40,60,600,31.8,30,,,,FALSE,
112,1489401,11,1000,800,40,40,60,200,5.75,85,,,,FALSE,
113,1489401,13,1000,300,20,40,60,475,7.3,50,,,,FALSE,
114,1685796,2,1000,1350,20,40,,0,,,,,,FALSE,
115,1685796,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
116,1685796,4,1000,1350,20,40,60,810,30,70,,,,FALSE,
117,1685796,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
118,1685796,6,1000,1600,20,40,60,1200,65.8,15,,,,FALSE,
119,1685796,10,1000,1200,20,40,60,600,34.5,30,,,,FALSE,
120,1685796,11,1000,800,40,90,60,180,1.6,85,,,,FALSE,
121,1685796,13,1000,250,20,40,60,540,6.5,50,,,,FALSE,
122,1709667,2,1000,1350,20,40,,0,,,,,,FALSE,
123,1709667,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
124,1709667,4,1000,1350,20,40,60,810,30,70,,,,FALSE,
125,1709667,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
126,1709667,6,1000,1600,20,40,60,1200,65.8,15,,,,FALSE,
127,1709667,10,1000,1200,20,40,60,600,34.5,30,,,,FALSE,
128,1709667,11,1000,800,40,90,60,180,1.6,85,,,,FALSE,
129,1709667,13,1000,250,20,40,60,540,6.5,50,,,,FALSE,
130,1791017,2,1000,1350,20,40,,0,,,,,,FALSE,
131,1791017,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
132,1791017,4,1000,1350,20,40,60,810,30,70,,,,FALSE,
133,1791017,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
134,1791017,6,1000,1600,20,40,60,1200,65.8,15,,,,FALSE,
135,1791017,10,1000,1200,20,40,60,600,34.5,30,,,,FALSE,
136,1791017,11,1000,800,40,90,60,180,1.6,85,,,,FALSE,
137,1791017,13,1000,250,20,40,60,540,6.5,50,,,,FALSE,
138,1840747,2,1000,1350,20,40,,0,,,,,,FALSE,
139,1840747,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
140,1840747,4,1000,1350,20,40,60,810,35,70,,,,FALSE,
141,1840747,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
142,1840747,6,1000,1600,20,40,60,1200,74.6,15,,,,FALSE,
143,1840747,10,1000,1200,20,40,60,600,37.3,30,,,,FALSE,
144,1840747,11,1000,800,40,90,60,180,2.4,85,,,,FALSE,
145,1840747,13,1000,250,20,40,60,540,6.9,50,,,,FALSE,
146,2959130,2,1000,1350,20,40,,0,,,,,,FALSE,
147,2959130,3,1000,1350,20,40,60,1050,,,,,,FALSE,
148,2959130,4,1000,1350,20,40,60,1050,52,57.69,,,,FALSE,
149,2959130,6,1000,1350,20,40,60,1050,57.2,12,,,,FALSE,
150,2959130,10,1000,800,20,40,60,800,28,21.9,,,,FALSE,
151,2959130,11,1000,800,40,60,60,220,3.2,70,,,,FALSE,
152,2959130,13,1000,300,20,40,60,600,7,60,,,,FALSE,
153,3172300,2,1000,1350,20,40,,0,,,,,,FALSE,
154,3172300,3,1000,1350,20,40,60,1050,,,,,,FALSE,
155,3172300,4,1000,1350,20,40,60,1050,52,57.69,,,,FALSE,
156,3172300,6,1000,1350,20,40,60,1050,57.2,12,,,,FALSE,
157,3172300,10,1000,800,20,40,60,800,28,21.9,,,,FALSE,
158,3172300,11,1000,800,40,60,60,220,3.2,70,,,,FALSE,
159,3172300,13,1000,300,20,40,60,600,7,60,,,,FALSE,
160,3264700,2,1000,1350,20,40,,0,,,,,,FALSE,
161,3264700,3,1000,1350,20,40,60,1050,,,,,,FALSE,
162,3264700,4,1000,1350,20,40,60,1050,52,57.69,,,,FALSE,
163,3264700,6,1000,1350,20,40,60,1050,57.2,12,,,,FALSE,
164,3264700,10,1000,800,20,40,60,800,28,21.9,,,,FALSE,
165,3264700,11,1000,800,40,60,60,220,3.2,70,,,,FALSE,
166,3264700,13,1000,300,20,40,60,600,7,60,,,,FALSE,
167,8603177,2,1000,1350,20,40,,0,,,,,,FALSE,
168,8603177,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
169,8603177,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
170,8603177,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
171,8603177,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
172,8603177,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
173,8603177,11,1000,800,40,90,60,180,2.5,85,,,,FALSE,
174,8603177,13,1000,250,20,60,60,540,4.9,50,,,,FALSE,
175,8603319,2,1000,1350,20,40,,0,,,,,,FALSE,
176,8603319,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
177,8603319,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
178,8603319,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
179,8603319,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
180,8603319,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
181,8603319,11,1000,800,40,90,60,180,2.5,85,,,,FALSE,
182,8603319,13,1000,250,20,60,60,540,4.9,50,,,,FALSE,
183,8603564,2,1000,1350,20,40,,0,,,,,,FALSE,
184,8603564,3,1000,300,20,40,60,2500,,,SIEMENS_PIEZO_H,,,FALSE,
185,8603564,4,1000,1350,20,40,60,810,38,70,,,,FALSE,
186,8603564,5,1000,250,20,60,60,540,5.0,60,,,,FALSE,
187,8603564,6,1000,1600,20,40,60,1200,66.8,15,,,,FALSE,
188,8603564,10,1000,1200,20,40,60,600,30.5,30,,,,FALSE,
