injector_code,mask_type,shift_voltage,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char_10,char_11,char_12,char_13,char_14,char_15
0445115003,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115004,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115007,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115008,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115009,ONE,16,0,0,0,0,101,105,109,113,117,121,125,0,0,0,0,0
0445115014,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0445115015,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0445115016,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115017,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115018,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115019,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115020,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115021,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115022,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115023,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115024,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115025,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115026,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115027,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115028,ONE,16,0,0,0,0,99,103,107,111,115,119,123,0,0,0,0,0
0445115029,ONE,16,0,0,0,0,99,103,107,111,115,119,123,0,0,0,0,0
0445115032,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115033,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115034,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115035,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115036,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115037,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115038,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115039,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115040,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115041,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115042,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115043,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115044,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115045,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115046,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115047,ONE,16,0,0,0,0,99,103,107,111,115,119,123,0,0,0,0,0
0445115048,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115049,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115050,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115051,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115052,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115053,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115054,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115055,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115056,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115057,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115058,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115059,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115060,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115061,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115062,ONE,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115063,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115064,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115065,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0445115066,ONE,16,0,0,0,0,93,97,101,105,109,113,117,0,0,0,0,0
0445115067,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115068,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115069,ONE,16,0,0,0,0,100,104,108,112,116,120,124,0,0,0,0,0
0445115070,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115071,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115072,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115075,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115076,ONE,16,0,0,0,0,97,101,105,109,113,117,121,0,0,0,0,0
0445115077,ONE,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115078,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115079,TWO,16,0,0,0,0,96,100,104,108,112,116,120,0,0,0,0,0
0445115080,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
0445115081,TWO,16,0,0,0,0,98,102,106,110,114,118,122,0,0,0,0,0
