profile_name,injector_type,is_custom,boost_u,battery_u,boost_i,first_i,first_w,second_i,negative_u,boost_disable,is_double_coil,boost_i2,first_i2,first_w2,second_i2
14V,COIL,FALSE,60,14,21.75,20,450,11.75,60,FALSE,FALSE,,,,
14V-01,COIL,FALSE,60,14,19.75,18,450,11.75,60,FALSE,FALSE,,,,
14V-02,COIL,FALSE,42,14,16,9.25,450,7,60,FALSE,FALSE,,,,
14V-03,COIL,FALSE,42,14,16,9.25,450,7,60,FALSE,FALSE,,,,
14V-NKW,COIL,FALSE,60,14,21.75,20.25,450,12.25,60,FALSE,FALSE,,,,
28V,COIL,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE,FALSE,,,,
28V-01,COIL,FALSE,60,28,18.5,18.5,450,12,60,FALSE,FALSE,,,,
28V-02,COIL,FALSE,48,28,18.5,14,450,13.5,60,FALSE,FALSE,,,,
28V-03,COIL,FALSE,50,28,20,20,450,13.5,60,FALSE,FALSE,,,,
28V-04,COIL,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE,FALSE,,,,
28V-05,COIL,FALSE,60,28,20,20,450,12,60,FALSE,FALSE,,,,
28V-06,COIL,FALSE,48,28,25,12.5,450,12,60,FALSE,FALSE,,,,
28V-07,COIL,FALSE,48,28,25,15,450,11,60,FALSE,FALSE,,,,
28V-08,COIL,FALSE,48,28,18.5,14,450,13.5,60,FALSE,FALSE,,,,
28V-09,COIL,FALSE,48,28,18.5,18.5,450,13.5,60,FALSE,FALSE,,,,
28V-10,COIL,FALSE,48,28,25,15,450,11,60,FALSE,FALSE,,,,
28V-11,COIL,FALSE,60,28,21.75,20.25,450,12.25,60,FALSE,FALSE,,,,
28V-12,COIL,FALSE,48,28,25,15,450,15,60,FALSE,FALSE,,,,
28V-13,COIL,FALSE,48,28,22,16.25,450,8.75,60,FALSE,FALSE,,,,
28V-14,COIL,FALSE,48,28,18.5,18.5,450,13.5,60,FALSE,FALSE,,,,
28V-15,COIL,FALSE,48,28,18.5,18,450,12,60,FALSE,FALSE,,,,
