id,code1,description,code2
1,095000-015,Toyota Avensis 1CD-FTV 1999/10,23670-27010
2,095000-036,Opel Signum 6DE1 3.0L V6 2001/10,8-97239161-7
3,095000-036,Opel Signum 6DE1 3.0L V6 2001/10,8-97239161-7
4,095000-036,Opel Vectra 6DE1 3.0L V6 2001/10,8-97239161-7
5,095000-036,Opel Vectra 6DE1 3.0L V6 2001/10,8-97239161-7
6,095000-036,Renault Espace 6DE1 3.0L V6 2001/10,8-97239161-7
7,095000-036,Renault Espace 6DE1 3.0L V6 2001/10,8-97239161-7
8,095000-036,Renault Vel Satis 6DE1 3.0L V6 2001/10,8-97239161-7
9,095000-036,Renault Vel Satis 6DE1 3.0L V6 2001/10,8-97239161-7
10,095000-036,Saab 9-5 6DE1 3.0L V6 2001/10,8-97239161-7
11,095000-036,Saab 9-5 6DE1 3.0L V6 2001/10,8-97239161-7
12,095000-041,Toyota Avensis 1CD-FTV 1999/10,23670-29015
13,095000-042,Toyota Avensis 1CD-FTV 2000/10,23670-29035
14,095000-042,Toyota Avensis Verso 1CD-FTV 2000/10,23670-29035
15,095000-042,Toyota Previa 1CD-FTV 2000/10,23670-29035
16,095000-042,Toyota RAV4 1CD-FTV 2000/10,23670-29035
17,095000-043,Toyota Corolla 1CD-FTV 2000/08,23670-27020
18,095000-043,Toyota Corolla Verso 1CD-FTV 2000/08,23670-27020
19,095000-051,Nissan X-Trail YD22 2001/09,166008H80
20,095000-051,Nissan X-Trail YD22 2001/09,16600-8H80
21,095000-052,Toyota Land Cruiser 1KD-FTV 120 2002/08,23670-30020
22,095000-052,Toyota Land Cruiser 1KD-FTV 90/95 2000/08,23670-30010
23,095000-052,Toyota Land Cruiser 1KD-FTV 90/95 2000/08,23670-30020
24,095000-053,Toyota Land Cruiser 1KD-FTV 120 2002/08,23670-30020
25,095000-053,Toyota Land Cruiser 1KD-FTV 90 / 95 2000/08,23670-30020
26,095000-054,John Deere 6081T,RE504181
27,095000-055,John Deere 6081T,RE501010
28,095000-057,Toyota Avensis 1CD-FTV 2000/10,23670-27030
29,095000-057,Toyota Avensis Verso 1CD-FTV 2000/10,23670-27030
30,095000-057,Toyota Previa 1CD-FTV 2000/10,23670-27030
31,095000-057,Toyota RAV4 1CD-FTV 2000/10,23670-27030
32,095000-058,Toyota Dyna 200 (Hino) S05C 2001/10,23670-78010
33,095000-058,Toyota Dyna 200 (Hino) S05C 2001/10,23910-1201A
34,095000-058,Toyota Dyna 200 /(Hino) S05C 2001/10,23670-78010
35,095000-058,Toyota Dyna 200 /(Hino) S05C 2001/10,23910-1201A
36,095000-063,Toyota Dyna 2KD-FTV 2001/08,23670-30040
37,095000-063,Toyota Dyna 2KD-FTV 2005/07,23670-30040
38,095000-064,Toyota Corolla 1CD-FTV 2000/08,23670-29025
39,095000-064,Toyota Corolla Verso 1CD-FTV 2000/08,23670-29025
40,095000-074,Toyota Land Cruiser 1KD-FTV 120 2002/08,23670-39025
41,095000-074,Toyota Land Cruiser 1KD-FTV 90/95 2000/08,23670-39015
42,095000-074,Toyota Land Cruiser 1KD-FTV 90/95 2000/08,23670-39025
43,095000-075,Toyota Land Cruiser 1KD-FTV 120 2002/08,23670-39025
44,095000-075,Toyota Land Cruiser 1KD-FTV 90 / 95 2000/08,23670-39025
45,095000-077,Toyota 4Runner 2KD-FTV 2001/08,23670-30030
46,095000-077,Toyota 4Runner 2KD-FTV 2005/07,23670-30030
47,095000-077,Toyota Dyna 2KD-FTV 2001/08,23670-30030
48,095000-077,Toyota Dyna 2KD-FTV 2001/08,23670-30040
49,095000-077,Toyota Dyna 2KD-FTV 2005/07,23670-30030
50,095000-077,Toyota Dyna 2KD-FTV 2005/07,23670-30040
51,095000-077,Toyota Hiace 2KD-FTV 2001/08,23670-30030
52,095000-077,Toyota Hiace 2KD-FTV 2005/07,23670-30030
53,095000-077,Toyota Hilux 2KD-FTV 2001/08,23670-30030
54,095000-077,Toyota Hilux 2KD-FTV 2005/07,23670-30030
55,095000-082,John Deere 6081T,RE508825
56,095000-083,John Deere 6081T,RE508824
57,095000-088,Nissan Primera YD22 2001/12,16600-AU600
58,095000-088,Nissan Primera YD22 2001/12,16600-AU600
59,095000-094,Toyota 4Runner 2KD-FTV 2001/08,23670-39035
60,095000-094,Toyota 4Runner 2KD-FTV 2005/07,23670-39035
61,095000-094,Toyota Dyna 2KD-FTV 2001/08,23670-39035
62,095000-094,Toyota Dyna 2KD-FTV 2001/08,23670-39045
63,095000-094,Toyota Dyna 2KD-FTV 2005/07,23670-39035
64,095000-094,Toyota Dyna 2KD-FTV 2005/07,23670-39045
65,095000-094,Toyota Hiace 2KD-FTV 2001/08,23670-39035
