injector_code,manufacturer_name,volt_ampere_profile,code_type,calibration_id,coefficient,is_custom,is_heui
77550,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
174697,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
198090,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
0984302,Cummins,CUMMINS_CRFI5,-1,,,FALSE,FALSE
1346476,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1348623,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1355051,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1373549,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1373550,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1432322,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1451604,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1469709,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1483820,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1489400,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1489401,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
1685796,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
1709667,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
1791017,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
1840747,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
2086663,Cummins,CUMMINS_CRFI5,-1,,,FALSE,FALSE
2959130,Caterpillar,CATERPILLAR_COIL,-1,,,FALSE,FALSE
3172300,Caterpillar,CATERPILLAR_COIL,-1,,,FALSE,FALSE
3264700,Caterpillar,CATERPILLAR_COIL,-1,,,FALSE,FALSE
8603177,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
8603319,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
8603564,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
8603565,Siemens,SIEMENS_PIEZO,-1,,,FALSE,FALSE
18112616,Siemens,SIEMENS_PIEZO,1,,,FALSE,FALSE
28229873,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28231014,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28231462,Delphi,DELPHI_COIL,2,,3,FALSE,FALSE
28232234,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28232242,Delphi,DELPHI_COIL,1,,0,FALSE,FALSE
28232248,Delphi,DELPHI_COIL,1,,0,FALSE,FALSE
28232251,Delphi,DELPHI_COIL,1,,1,FALSE,FALSE
28235143,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28236381,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28237259,Delphi,DELPHI_COIL,2,,2,FALSE,FALSE
28239766,Delphi,DELPHI_COIL,2,,3,FALSE,FALSE
28239769,Delphi,DELPHI_COIL,2,,3,FALSE,FALSE
