pump_code,manufacturer,custom,feed_pressure,rotation,regulator_config,pressure_control,regulator_type,scv_curr_inj,scv_min_curr,scv_max_curr
0 445 010 002,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 003,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 004,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 006,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 007,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 008,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 009,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 010,Bosch,FALSE,1.9,RIGHT,EAV,RAIL_AND_PUMP,N_O,0,,
0 445 010 011,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 012,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.60
0 445 010 013,Bosch,FALSE,1.9,LEFT,EAV,RAIL,N_O,0,,
0 445 010 014,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 015,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 016,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.60
0 445 010 018,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 019,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 021,Bosch,FALSE,1.9,RIGHT,EAV,RAIL_AND_PUMP,N_O,0,,
0 445 010 022,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 024,Bosch,FALSE,1.9,LEFT,EAV,RAIL,N_O,0,,
0 445 010 025,Bosch,FALSE,1.9,RIGHT,EAV,RAIL,N_O,0,,
0 445 010 026,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 027,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 028,Bosch,FALSE,1.9,LEFT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 029,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 031,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 033,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.57
0 445 010 034,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 036,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.60
0 445 010 038,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 039,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 041,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 042,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 043,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 044,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 045,Bosch,FALSE,3.7,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 046,Bosch,FALSE,1.9,RIGHT,EAV,RAIL_AND_PUMP,N_O,0,,
0 445 010 047,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 048,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 049,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 050,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 052,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 071,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 072,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL_AND_PUMP,NO_TYPE,,,
0 445 010 073,Bosch,FALSE,3.6,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 074,Bosch,FALSE,3.6,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 075,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 076,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 078,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 079,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 080,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 081,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 082,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 084,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 085,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 086,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 087,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 088,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 089,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 090,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 091,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 092,Bosch,FALSE,1.9,RIGHT,NO_CONFIG,RAIL,NO_TYPE,,,
0 445 010 093,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 094,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 095,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 096,Bosch,FALSE,3.7,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 097,Bosch,FALSE,5.0,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.70
0 445 010 098,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 099,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 101,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.62
0 445 010 102,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_C,1.50,0.54,1.50
0 445 010 104,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.50
0 445 010 105,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 106,Bosch,FALSE,0.8,RIGHT,SCV,RAIL,N_O,0.40,0.40,1.52
0 445 010 107,Bosch,FALSE,0.8,LEFT,SCV,RAIL,N_O,0.40,0.40,1.62
