id,pump_code,car_model
1,0 445 020 611,Agco Sisu
2,0 445 020 101,Agrale-Deutz
3,0 445 020 119,Agrale-Deutz
4,0 445 010 002,Alfa Romeo
5,0 445 010 003,Alfa Romeo
6,0 445 010 006,Alfa Romeo
7,0 445 010 007,Alfa Romeo
8,0 445 010 071,Alfa Romeo
9,0 445 010 072,Alfa Romeo
10,0 445 010 123,Alfa Romeo
11,0 445 010 130,Alfa Romeo
12,0 445 010 150,Alfa Romeo
13,0 445 010 166,Alfa Romeo
14,0 445 010 185,Alfa Romeo
15,0 445 010 231,Alfa Romeo
16,0 445 010 232,Alfa Romeo
17,0 445 010 243,Alfa Romeo
18,0 445 010 242,Alfa Romeo
19,0 445 010 285,Alfa Romeo
20,0 445 010 286,Alfa Romeo
21,0 445 010 292,Alfa Romeo
22,0 445 010 302,Alfa Romeo
23,0 445 010 303,Alfa Romeo
24,0 445 010 304,Alfa Romeo
25,0 445 010 305,Alfa Romeo
26,0 445 010 308,Alfa Romeo
27,0 445 010 309,Alfa Romeo
28,0 445 010 310,Alfa Romeo
29,0 445 010 311,Alfa Romeo
30,0 445 010 349,Alfa Romeo
31,0 445 010 350,Alfa Romeo
32,0 445 010 425,Alfa Romeo
33,0 445 010 426,Alfa Romeo
34,0 986 437 001,Alfa Romeo
35,0 986 437 002,Alfa Romeo
36,0 986 437 035,Alfa Romeo
37,0 986 437 038,Alfa Romeo
38,0 986 437 046,Alfa Romeo
39,0 986 437 063,Alfa Romeo
40,0 986 437 069,Alfa Romeo
41,0 986 437 094,Alfa Romeo
42,0 986 437 097,Alfa Romeo
43,0 445 010 026,Alpina
44,0 445 010 041,Alpina
45,0 445 020 088,Amur
46,0 445 010 177,Andoria
47,0 445 020 141,Ashok Ley
48,0 445 010 669,Audi
49,0 445 010 133,Audi
50,0 445 010 154,Audi
51,0 445 010 171,Audi
52,0 445 010 327,Audi
53,0 445 010 328,Audi
54,0 445 010 331,Audi
55,0 445 010 507,Audi
56,0 445 010 508,Audi
57,0 445 010 529,Audi
58,0 445 010 535,Audi
59,0 445 010 537,Audi
60,0 445 010 538,Audi
61,0 445 010 543,Audi
62,0 445 010 546,Audi
63,0 445 010 562,Audi
64,0 445 010 568,Audi
65,0 445 010 570,Audi
66,0 445 010 583,Audi
67,0 445 010 611,Audi
68,0 445 010 613,Audi
69,0 445 010 619,Audi
70,0 445 010 624,Audi
71,0 445 010 632,Audi
72,0 445 010 639,Audi
73,0 445 010 640,Audi
74,0 445 010 641,Audi
75,0 445 010 642,Audi
76,0 445 010 643,Audi
77,0 445 010 644,Audi
78,0 445 010 646,Audi
79,0 445 010 647,Audi
80,0 445 010 650,Audi
81,0 445 010 654,Audi
82,0 445 010 656,Audi
83,0 445 010 657,Audi
84,0 445 010 658,Audi
85,0 445 010 659,Audi
86,0 445 010 663,Audi
87,0 445 010 670,Audi
88,0 445 010 671,Audi
89,0 445 010 673,Audi
90,0 445 010 674,Audi
91,0 445 010 675,Audi
92,0 445 010 676,Audi
93,0 445 010 677,Audi
94,0 445 010 682,Audi
95,0 445 010 683,Audi
96,0 445 010 685,Audi
97,0 445 010 686,Audi
98,0 445 010 690,Audi
99,0 445 010 691,Audi
100,0 445 010 692,Audi
101,0 445 010 693,Audi
102,0 445 010 694,Audi
103,0 445 010 695,Audi
104,0 445 010 801,Audi
105,0 445 010 805,Audi
106,0 445 010 806,Audi
107,0 445 010 813,Audi
108,0 445 010 814,Audi
109,0 986 437 092,Audi
110,0 986 437 093,Audi
111,0 986 437 404,Audi
112,0 986 437 407,Audi
113,0 986 437 408,Audi
114,0 986 437 409,Audi
115,0 986 437 410,Audi
116,0 986 437 413,Audi
117,0 986 437 414,Audi
118,0 986 437 418,Audi
119,0 986 437 434,Audi
120,0 986 437 435,Audi
121,0 986 437 440,Audi
122,0 986 437 450,Audi
123,0 986 437 456,Audi
124,0 986 437 463,Audi
125,03L130755AH,Audi
126,03L130755AJ,Audi
127,03L130755AL,Audi
128,03L130755AN,Audi
129,03L130755E,Audi
130,03L130755H,Audi
131,5WS40836,Audi
132,5WS40891,Audi
133,A2C53341464,Audi
134,A2C53366731,Audi
135,A2C59517047,Audi
