id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
1,1454748,1,FALSE,60,,500,0,,,,,1.7,2,,,,,,FALSE
2,1454748,2,TRUE,60,,2000,500,,,,,1.7,2,,,,,,FALSE
3,1454748,5,TRUE,10,20,120,250,3,,,,1.7,2,,,,,,FALSE
4,1454748,6,TRUE,10,20,120,600,3.6,5.4,,,1.7,2,,,,,,FALSE
5,1454748,7,TRUE,10,20,1500,1600,64.8,76.8,,,1.7,2,,,,,,FALSE
6,1454748,8,TRUE,10,20,2500,500,124.8,144,,,1.7,2,,,,,,FALSE
7,1454748,10,TRUE,10,20,2500,500,62.4,77.4,,,1.2,2,,,,,,FALSE
8,1454748,11,TRUE,10,20,2500,500,40.2,55.8,,,1,2,,,,,,FALSE
9,1454748,12,TRUE,10,20,2500,500,21.6,35.4,,,0.8,2,,,,,,FALSE
10,1454748,13,TRUE,10,20,2500,0,0,0.72,,,0,2,,,,,,FALSE
11,1541452,1,FALSE,60,,500,0,,,,,1.7,2,,,,,,FALSE
12,1541452,2,TRUE,60,,2000,500,,,,,1.7,2,,,,,,FALSE
13,1541452,5,TRUE,10,20,120,250,3,,,,1.7,2,,,,,,FALSE
14,1541452,6,TRUE,10,20,120,600,3.6,5.4,,,1.7,2,,,,,,FALSE
15,1541452,7,TRUE,10,20,1500,1600,64.8,76.8,,,1.7,2,,,,,,FALSE
16,1541452,8,TRUE,10,20,2500,500,124.8,144,,,1.7,2,,,,,,FALSE
17,1541452,10,TRUE,10,20,2500,500,62.4,77.4,,,1.2,2,,,,,,FALSE
18,1541452,11,TRUE,10,20,2500,500,40.2,55.8,,,1,2,,,,,,FALSE
19,1541452,12,TRUE,10,20,2500,500,21.6,35.4,,,0.8,2,,,,,,FALSE
20,1541452,13,TRUE,10,20,2500,0,0,0.72,,,0,2,,,,,,FALSE
21,1731745,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
22,1731745,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
23,1731745,5,TRUE,10,20,120,250,5.4,,,,1.7,,,,,,,FALSE
24,1731745,6,TRUE,10,20,120,1000,4.8,8.4,,,1.7,,,,,,,FALSE
25,1731745,7,TRUE,10,20,1500,1600,73.08,92.28,,,1.7,,,,,,,FALSE
26,1731745,8,TRUE,10,20,2500,500,120,144,24,46.02,1.7,,,,,,,FALSE
27,1731745,10,TRUE,10,20,2500,500,60,81,,,1.4,,,,,,,FALSE
28,1731745,11,TRUE,10,20,2500,500,24,42,,,1.2,,,,,,,FALSE
29,1731745,12,TRUE,10,20,2500,500,5.4,19.2,,,1,,,,,,,FALSE
30,1731745,13,TRUE,10,20,2500,0,0,0.48,,,0,,,,,,,FALSE
31,1841726,1,FALSE,60,,500,0,,,,,1.7,,,,,,,FALSE
32,1841726,2,TRUE,60,,2000,500,,,,,1.7,,,,,,,FALSE
33,1841726,5,TRUE,10,20,120,250,5.4,,,,1.7,,,,,,,FALSE
34,1841726,6,TRUE,10,20,120,1000,4.8,8.4,,,1.7,,,,,,,FALSE
35,1841726,7,TRUE,10,20,1500,1600,73.08,92.28,,,1.7,,,,,,,FALSE
36,1841726,8,TRUE,10,20,2500,500,120,144,24,46.02,1.7,,,,,,,FALSE
37,1841726,10,TRUE,10,20,2500,500,60,81,,,1.4,,,,,,,FALSE
38,1841726,11,TRUE,10,20,2500,500,24,42,,,1.2,,,,,,,FALSE
39,1841726,12,TRUE,10,20,2500,500,5.4,19.2,,,1,,,,,,,FALSE
40,1841726,13,TRUE,10,20,2500,0,0,0.48,,,0,,,,,,,FALSE
41,3689040,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
42,3689040,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
43,3689040,3,TRUE,10,20,600,250,1.8,3.6,,,,,1.57,1.97,1.67,1.72,,FALSE
44,3689040,4,TRUE,10,20,2000,2000,54,126,,,,,,,,,-0.64,FALSE
45,3689040,5,TRUE,10,20,200,350,14.4,,,,0,,,,,,,FALSE
46,3689040,7,TRUE,10,20,2000,2000,141.6,,,,0,,,,,,,FALSE
47,3689040,10,TRUE,10,20,2700,0,,0.66,,,2.1,,,,,,,FALSE
48,3689041,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
49,3689041,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
50,3689041,3,TRUE,10,20,600,250,1.8,3.6,,,,,0.95,1.15,0.95,1.15,,FALSE
51,3689041,4,TRUE,10,20,2000,2000,54,126,,,,,,,,,-0.41,FALSE
52,3689041,5,TRUE,10,20,200,350,14.4,,,,0,,,,,,,FALSE
53,3689041,7,TRUE,10,20,2000,2000,141.6,,,,0,,,,,,,FALSE
