oe_part_number,description,engine,order_number,remarks
198090,-,,,replaced by 5WS40148-Z
1980C0,-,,,see: 9647247280
8603177,-,,,see: 9647247280
8603319,-,,,see: 9647247280
9645988580,-,,,replaced by 5WS40148-Z
9647247280,-,,,a) Class marking 4 or 5 or 6 => replace with 5WS40156 (same classification)b) without class marking => replace with 5WS40156 (class 5)
9649574480,-,,,replaced by 5WS40148-Z
9652707180,-,,,replaced by 5WS40149-Z  or 5WS40516/A2C59511612
9652763180,-,,,see 9649574480
9652763280,-,,,replaced by 5WS40148-Z
9715135480,-,,,see 9652707180
166006212R,K9K Gen6,K9K Gen6,,not released yet for IAM
8201041272,K9K Gen6,K9K Gen6,,not released yet for IAM
2S6Q9F593AA,-,,,see 9649574480
1980000000,-,,,replaced by 5WS40149-Z  or 5WS40516/A2C59511612
198000000000,-,,,see: 9647247280
1980K0,-,,,5WS40322-8
30725106,-,,,5WS40518
8201100113,K9K Gen6,K9K Gen6,,not released yet for IAM
9661683980,-,,,replaced by 5WS40156 (class 5 only)
9677247280,-,,,see 9649574480
A6070700195,K9K Gen6,K9K Gen6,,not released yet for IAM
1980F0,DW10TD,DW10TD,5WS40000-Z,-
9636680280,DW10TD,DW10TD,5WS40000-Z,-
9636819380,DW10TD,DW10TD,5WS40000-Z,-
9652173680,DW10TD,DW10TD,5WS40000-Z,-
9652173780,DW10TD,DW10TD,5WS40000-Z,-
1346476,EURO 3 DV4,DV4TD,5WS40148-Z,-
1348623,EURO 3 DV4,DV4TD,5WS40148-Z,-
9655304780,EURO 3 DV4,DV4TD,5WS40148-Z,-
9655304880,EURO 3 DV4,DV4TD,5WS40148-Z,-
2S6Q9F593AB,EURO 3 DV4,DV4TD,5WS40148-Z,-
2S6Q9F593AC,EURO 3 DV4,DV4TD,5WS40148-Z,-
19800000000,EURO 3 DV4,DV4TD,5WS40148-Z,
1469709,EU4 DV4,DV4TD,5WS40149-Z,replaced by A2C59511612
1980J1,EU4 DV4,DV4TD,5WS40149-Z,replaced by A2C59511612
9654550980,EU4 DV4,DV4TD,5WS40149-Z,replaced by A2C59511612
9654551080,EU4 DV4,DV4TD,5WS40149-Z,replaced by A2C59511612
2S6Q9F593BC,EU4 DV4,DV4TD,5WS40149-Z,replaced by A2C59511612
1373549,DW10B CLASS 4,DW10BTED,5WS40156-4Z,-
1980J4,DW10B CLASS 4,DW10BTED,5WS40156-4Z,-
8603565,DW10B CLASS 4,DW10BTED,5WS40156-4Z,-
9657144580,DW10B CLASS 4,DW10BTED,5WS40156-4Z,see: 9647247280
3M5Q9F593DB,DW10B CLASS 4,DW10BTED,5WS40156-4Z,-
1373550,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
1980J5,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
8603564,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
9657144680,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
9657144780,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
9659244280,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
3M5Q9F593EA,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
3M5Q9F593EB,DW10B CLASS 5,DW10BTED,5WS40156-Z,-
02XR856939,LION V6 JAGUAR EURO 3,LionV6,A2C59511315,5WS40057
4S7Q9K546AF,LION V6 JAGUAR EURO 3,LionV6,A2C59511315,5WS40057
4S7Q9K546AG,LION V6 JAGUAR EURO 3,LionV6,A2C59511315,5WS40057
XR845127,LION V6 JAGUAR EURO 3,LionV6,A2C59511315,5WS40057
XR856939,LION V6 JAGUAR EURO 3,LionV6,A2C59511315,5WS40057
02C2S40004,LION V6/DT17 EURO 4,LionV6,A2C59511316,5WS40103
1980H1,LION V6/DT17 EURO 4,LionV6,A2C59511316,5WS40103
9648917080,LION V6/DT17 EURO 4,LionV6,A2C59511316,5WS40103
C2S40004,LION V6/DT17 EURO 4,LionV6,A2C59511316,5WS40103
5U3Q9K546AA,LION V6/DT17 EURO 4,LionV6,A2C59511316,5WS40103
1489400,LION V6 LAND ROVER,LionV6,A2C59511364,5WS40249
LR005961,LION V6 LAND ROVER,LionV6,A2C59511364,5WS40249
LR006495,LION V6 LAND ROVER,LionV6,A2C59511364,5WS40249
LR008836,LION V6 LAND ROVER,LionV6,A2C59511364,5WS40249
4H2Q9K546AF,LION V6 LAND ROVER,LionV6,A2C59511364,5WS40249
1483820,DW10B CLASS 6,DW10BTED,A2C59511601,5WS40156-6
31216456,DW10B CLASS 6,DW10BTED,A2C59511601,5WS40156-6
3M5Q9F593FB,DW10B CLASS 6,DW10BTED,A2C59511601,5WS40156-6
1980K5,DW10U MFMA,DW10BTED,A2C59511602,5WS40200
9659337980,DW10U MFMA,DW10BTED,A2C59511602,5WS40200
1980K8,DW10B MFMA,DW10BTED,A2C59511603,5WS40441
1980L0,DW10B MFMA,DW10BTED,A2C59511603,5WS40516
9658194180,DW10B MFMA,DW10BTED,A2C59511603,5WS40322
9660334880,DW10B MFMA,DW10BTED,A2C59511603,can also be replaced by 5WS40322 but ECU calibration updated needed
166009445R,K9K EU4,K9K Euro 4,A2C59511606,-
8200380253,K9K EU4,K9K Euro 4,A2C59511606,replaced by 8200842205
8200842205,K9K EU4,K9K Euro 4,A2C59511606,-
8201042300,K9K EU4,K9K Euro 4,A2C59511606,-
1660000Q0H,K9K EU4,K9K Euro 4,A2C59511606,-
1660000Q0P,K9K EU4,K9K Euro 4,A2C59511606,-
1660000Q1T,K9K EU4,K9K Euro 4,A2C59511606,-
1355051,LYNX,Lynx,A2C59511610,5WS40086
4M5Q9F593AD,LYNX,Lynx,A2C59511610,5WS40086
1432322,LYNX_V227,Lynx,A2C59511611,5WS40250
7T1Q9F593AB,LYNX_V227,Lynx,A2C59511611,5WS40250
9663429280,DV4 (Kyocera),DV4TD,A2C59511612,5WS40516
2S6Q9F593BD,DV4 (Kyocera),DV4TD,A2C59511612,-
Y40413250A,DV4 (Kyocera),DV4TD,A2C59511612,-
SU00100754,DV4 (Kyocera),DV4TD,A2C59511612,5WS40516
SU00100836,DV4 (Kyocera),DV4TD,A2C59511612,5WS40516
166008052R,K9K EU5,K9K Euro 5,A2C59513484,5WS40536
8200903034,K9K EU5,K9K Euro 5,A2C59513484,5WS40536
16600 00Q1F,K9K EU5,K9K Euro 5,A2C59513484,5WS40536
1980J9,DW10B MFMA CL7,DW10BTED,A2C59513552,5WS40322-7
1489401,LION V6 UPGRADE,LionV6 Upgrade,A2C59513553,5WS40252
LR006496,LION V6 UPGRADE,LionV6 Upgrade,A2C59513553,5WS40252
