id,engine,category,order_number,description
1,DV4TD,CR Pump,5WS40008-Z,CR Pump DV4
2,DV4TD,Injector,A2C59511612,Injector DV4 (Kyocera)
3,DV4TD,Injector,5WS40149-Z,Injector EU4 DV4 => replaced by A2C59511612
4,DV4TD,Injector,5WS40148-Z,Injector EURO 3 DV4
5,DV4TD,Misc,X11-800-002-004Z,"Copper Ring (2,5mm 6-Nose)"
6,DV4TD,Misc,X11-800-001-001Z,"Leckage Clip DW10TD, DV4"
7,DV4TD,Repair Part,A2C59506225,Pressure Control Valve (PCV)
8,DW10TD,CR Pump,5WS40018-Z,CR Pump DW10TD
9,DW10TD,Injector,5WS40000-Z,Injector DW10TD
10,DW10TD,Misc,X11-800-002-001Z,Copper Ring (2.5mm)
11,DW10TD,Misc,X11-800-001-001Z,"Leckage Clip DW10TD, DV4"
12,DW10TD,Pipe,5WS40004-Z,Pipe CYL 1+3 DW10TD (ONLY FOR P+P RAIL)
13,DW10TD,Pipe,5WS40005-Z,Pipe CYL 2+4 DW10TD (ONLY FOR P+P RAIL)
14,DW10TD,Pipe,5WS40003-Z,Pipe Pump DW10TD (ONLY FOR P+P RAIL)
15,DW10TD,Repair Part,A2C59506225,Pressure Control Valve (PCV)
16,DW10TD,Repair Part,X39-800-300-006Z,Volume Control Valve (VCV) Screwed
17,DW10TD,Repair Part,X39-800-300-005Z,Pressure Control Valve (PCV) => replaced by A2C59506225
18,DW10BTED,CR Pump,A2C59511600,CR Pump DW10B (VOLVO NEW)
19,DW10BTED,CR Pump,5WS40163-Z,CR Pump DW10B (VOLVO)
20,DW10BTED,CR Pump,5WS40019-Z,CR Pump DW10B => replaced by 5WS40809-Z
21,DW10BTED,Injector,5WS40156-4Z,Injector DW10B CLASS 4
22,DW10BTED,Injector,A2C59511601,Injector DW10B CLASS 6
23,DW10BTED,Injector,5WS40156-Z,Injector DW10B CLASS 5
24,DW10BTED,Injector,A2C59511603,Injector DW10B MFMA
25,DW10BTED,Injector,A2C59511602,Injector DW10U MFMA
26,DW10BTED,Injector,A2C59513552,Injector DW10B MFMA CL7
27,DW10BTED,Misc,X11-800-002-002Z,Copper Ring (1.5mm)
28,DW10BTED,Misc,X11-800-001-003Z,Leckage Clip DW10B
29,DW10BTED,Pipe,5WS40043-Z,Pipe CYL 2+4 DW10B
30,DW10BTED,Pipe,5WS40042-Z,Pipe CYL 1+3 DW10B
31,DW10BTED,Pipe,5WS40040-Z,Pipe Pump DW10B
32,DW10BTED,Repair Part,A2C59506225,Pressure Control Valve (PCV)
33,DW10BTED,Repair Part,X39-800-300-018Z,Volume Control Valve (VCV) flanged
