profile_name,cam_type,inlet_pressure,injector_type,injector_sub_type,boost_disable,boost_u,boost_i,battery_u,first_i,first_w,second_i,boost_i2,first_i2,first_w2,second_i2,negative_u,bip_pwm,bip_window,is_custom
VA_0414701005,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414701006,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414701007,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414701008,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414701013,2,6,COIL,SINGLE_COIL,TRUE,30,9,30,9,750,8,9,9,750,8,60,,,false
VA_0414701013(1),1,6,COIL,SINGLE_COIL,TRUE,30,9,30,9,750,8,9,9,750,8,60,,,false
VA_0414701020,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414701028,2,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,2000,10,15,15,2000,10,60,,,false
VA_0414702002,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414702003,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414702005,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414702006,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414702007,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414702010,2,6,COIL,SINGLE_COIL,FALSE,41,13,28,13,2000,8,13,13,2000,8,60,,,false
VA_0414703008_hanil,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720002,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720003,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720005,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720007,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720008,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
VA_0414720009,1,6,COIL,SINGLE_COIL,TRUE,30,15,30,15,760,11,15,15,760,11,60,,,false
