profile_name,injector_type,is_custom,boost_u,battery_u,boost_i,first_i,first_w,second_i,negative_u,boost_disable
BOSCH_COIL,1,FALSE,60,14,21.5,20,450,12,60,FALSE
BOSCH_PIEZO,2,FALSE,155,14,21.5,18,100,5.3,60,FALSE
DENSO_COIL3,1,FALSE,60,24,15,14,450,10,60,FALSE
DENSO_COIL1N,1,FALSE,60,20,19,17,450,12,60,FALSE
DENSO_COIL1,1,FALSE,60,20,19,17,450,12,60,FALSE
DENSO_COIL0.7,1,FALSE,60,20,20,18,450,12,60,FALSE
DENSO_COIL0.5H,1,FALSE,60,20,20,18,450,12,60,FALSE
DENSO_COIL0.5,1,FALSE,60,20,20,18,450,12,60,FALSE
DENSO_PIEZO,2,FALSE,141,14,21.5,18,100,5.3,60,FALSE
DELPHI_COIL,1,FALSE,60,14,19,18,250,7.5,60,TRUE
SIEMENS_PIEZO,2,FALSE,130,14,21.5,18,100,5.3,60,FALSE
CATERPILLAR_COIL,1,FALSE,60,14,21,20,450,13,60,FALSE
AZPI_COIL,1,FALSE,60,14,21,20,450,13,60,FALSE
14V,1,FALSE,60,14,21.75,20,450,11.75,60,FALSE
14V-01,1,FALSE,60,14,19.75,18,450,11.75,60,FALSE
14V-02,1,FALSE,42,14,16,9.25,450,7,60,FALSE
14V-03,1,FALSE,42,14,16,9.25,450,7,60,FALSE
14V-NKW,1,FALSE,60,14,21.75,20.25,450,12.25,60,FALSE
28V,1,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE
28V-01,1,FALSE,60,28,18.5,18.5,450,12,60,FALSE
28V-02,1,FALSE,48,28,18.5,14,450,13.5,60,FALSE
28V-03,1,FALSE,50,28,20,20,450,13.5,60,FALSE
28V-04,1,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE
28V-05,1,FALSE,60,28,20,20,450,12,60,FALSE
28V-06,1,FALSE,48,28,25,12.5,450,12,60,FALSE
28V-07,1,FALSE,48,28,25,15,450,11,60,FALSE
28V-08,1,FALSE,48,28,18.5,14,450,13.5,60,FALSE
28V-09,1,FALSE,48,28,18.5,18.5,450,13.5,60,FALSE
28V-10,1,FALSE,48,28,25,15,450,11,60,FALSE
28V-11,1,FALSE,60,28,21.75,20.25,450,12.25,60,FALSE
28V-12,1,FALSE,48,28,25,15,450,15,60,FALSE
28V-13,1,FALSE,48,28,22,16.25,450,8.75,60,FALSE
28V-14,1,FALSE,48,28,18.5,18.5,450,13.5,60,FALSE
28V-15,1,FALSE,48,28,18.5,18,450,12,60,FALSE
28V-16,1,FALSE,48,28,25,12,450,12,60,FALSE
28V-17,1,FALSE,48,28,20,20,450,12,60,FALSE
28V-18,1,FALSE,60,28,20,20,450,12,60,FALSE
28V-19,1,FALSE,48,28,18.5,18.5,450,13.5,60,FALSE
28V-20,1,FALSE,40,28,25,12,450,12,60,FALSE
28V-21,1,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE
28V-22,1,FALSE,48,28,25,15,450,15,60,FALSE
28V-23,1,FALSE,48,28,25,12,450,12,60,FALSE
28V-24,1,FALSE,41,28,25,15,450,11,60,FALSE
28V-25,1,FALSE,41,28,25,12,450,12,60,FALSE
28V-26,1,FALSE,41,28,25,15,450,15,60,FALSE
28V-27,1,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE
28V-28,1,FALSE,41,28,25,15,260,15,60,FALSE
28V-29,1,FALSE,41,28,25,15,450,11,60,FALSE
28V-30,1,FALSE,60,28,18.5,18.5,450,13.5,60,FALSE
28V-31,1,FALSE,41,28,25,12,450,12,60,FALSE
28V-32,1,FALSE,48,28,25,15,450,11,60,FALSE
28V-33,1,FALSE,48,28,18,18,450,12,60,FALSE
28V-LH,1,FALSE,60,28,18.5,18.5,450,12,60,FALSE
28V-NA,1,FALSE,48,28,25,12.5,450,12,60,FALSE
28V-NAHH,1,FALSE,48,28,25,15.5,450,15,60,FALSE
DELPHI_PIEZO,3,FALSE,150,14,6,5,100,4.5,35,FALSE
DELPHI_F2E,1,FALSE,55,28,16,15,450,10,60,FALSE
